Date;Group;Series;Value
06/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,818
07/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
10/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,818
11/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8114
12/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8114
13/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
14/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
17/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
18/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
19/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
21/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
24/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
25/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8157
26/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,816
27/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
28/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
01/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
02/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8157
03/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8147
04/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8123
07/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
08/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8157
09/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
10/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
11/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
14/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
15/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
16/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8127
17/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
18/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
21/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,813
22/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
23/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
24/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
28/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8114
29/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
30/06/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
01/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8107
02/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
